;Text;Thématique;Groupe;lang;lang_predict;lemma;cleaned;bigrams
0;['The', 'following', 'is', 'list', 'of', 'sports', 'games', 'divided', 'by', 'category'];list_of_sports;groupe D;En;En;['follow', 'list', 'sports', 'games', 'divide', 'category'];['follow', 'list', 'sports', 'games', 'divide', 'category'];['follow', 'list', 'sports', 'games', 'divide', 'category']
1;['According', 'the', 'World', 'Sports', 'Encyclopedia', 'there', 'are', 'indigenous', 'sports', 'and', 'sporting', 'games'];list_of_sports;groupe D;En;En;['sports', 'encyclopedia', 'indigenous', 'sports', 'sport', 'games'];['sports', 'encyclopedia', 'indigenous', 'sports', 'sport', 'games'];['sports', 'encyclopedia', 'indigenous', 'sports', 'sport', 'games']
2;['Sports', 'that', 'are', 'played', 'with', 'of', 'board', 'as', 'the', 'primary', 'equipment'];list_of_sports;groupe D;En;En;['sports', 'played', 'board', 'primary', 'equipment'];['sports', 'played', 'board', 'primary', 'equipment'];['sports', 'played', 'board', 'primary', 'equipment']
3;['Sports', 'using', 'bicycles', 'unicycles'];list_of_sports;groupe D;En;En;['sports', 'bicycle', 'unicycle'];['sports', 'bicycle', 'unicycle'];['sports', 'bicycle', 'unicycle']
4;['combat', 'sport', 'is', 'competitive', 'contact', 'sport', 'where', 'two', 'combatants', 'fight', 'against', 'each', 'other', 'using', 'certain', 'rules', 'of', 'engagement'];list_of_sports;groupe D;En;En;['combat', 'sport', 'competitive', 'contact', 'sport', 'combatant', 'fight', 'rule', 'engagement'];['combat', 'sport', 'competitive', 'contact', 'sport', 'combatant', 'fight', 'rule', 'engagement'];['combat', 'sport', 'competitive', 'contact', 'sport', 'combatant', 'fight', 'rule', 'engagement']
5;['Sports', 'using', 'horse'];list_of_sports;groupe D;En;En;['sports', 'horse'];['sports', 'horse'];['sports', 'horse']
6;['Sometimes', 'considered', 'blood', 'sports'];list_of_sports;groupe D;En;En;['blood', 'sports'];['blood', 'sports'];['blood', 'sports']
7;['Decathlon', 'heptathlon', 'and', 'the', 'pentathlons', 'consist', 'of', 'ten', 'and', 'five', 'component', 'contests', 'that', 'are', 'scored', 'together', 'using', 'one', 'points', 'system'];list_of_sports;groupe D;En;En;['decathlon', 'heptathlon', 'pentathlon', 'consist', 'component', 'contest', 'score'];['decathlon', 'heptathlon', 'pentathlon', 'consist', 'component', 'contest', 'score'];['decathlon', 'heptathlon', 'pentathlon', 'consist', 'component', 'contest', 'score']
8;['Racket', 'sports', 'are', 'games', 'which', 'players', 'rackets', 'hit', 'other', 'object'];list_of_sports;groupe D;En;En;['racket', 'sports', 'games', 'player', 'racket', 'hit', 'object'];['racket', 'sports', 'games', 'player', 'racket', 'hit', 'object'];['racket', 'sports', 'games', 'player', 'racket', 'hit', 'object']
9;['However', 'list', 'is', 'broader', 'and', 'includes', 'sport', 'disciplines', 'where', 'players', 'not', 'rackets', 'but', 'paddles', 'hand', 'frame', 'with', 'flat', 'boards', 'planks', 'instead', 'of', 'strings'];list_of_sports;groupe D;En;En;['list', 'broader', 'sport', 'disciplines', 'player', 'racket', 'paddle', 'hand', 'frame', 'flat', 'board', 'plank', 'string'];['list', 'broader', 'sport', 'disciplines', 'player', 'racket', 'paddle', 'hand', 'frame', 'flat', 'board', 'plank', 'string'];['list', 'broader', 'sport', 'disciplines', 'player', 'racket', 'paddle', 'hand', 'frame', 'flat', 'board', 'plank', 'string']
10;['Sports', 'that', 'originated', 'from', 'rodeos', 'the', 'old', 'Americas'];list_of_sports;groupe D;En;En;['sports', 'originate', 'rodeo', 'americas'];['sports', 'originate', 'rodeo', 'americas'];['sports', 'originate', 'rodeo', 'americas']
11;['Sports', 'using', 'firearm'];list_of_sports;groupe D;En;En;['sports', 'firearm'];['sports', 'firearm'];['sports', 'firearm']
12;['Games', 'involving', 'opponents', 'hitting', 'against', 'wall', 'walls', 'using', 'racket', 'other', 'piece', 'of', 'equipment', 'merely', 'gloved', 'barehanded'];list_of_sports;groupe D;En;En;['games', 'involve', 'opponent', 'hit', 'wall', 'wall', 'racket', 'piece', 'equipment', 'gloved', 'barehanded'];['games', 'involve', 'opponent', 'hit', 'wall', 'wall', 'racket', 'piece', 'equipment', 'gloved', 'barehanded'];['games', 'involve', 'opponent', 'hit', 'wall', 'wall', 'racket', 'piece', 'equipment', 'gloved', 'barehanded']
13;['These', 'sports', 'water', 'river', 'pool', 'etc'];list_of_sports;groupe D;En;En;['sports', 'water', 'river', 'pool'];['sports', 'water', 'river', 'pool'];['sports', 'water', 'river', 'pool']
14;['Sports', 'seen', 'movies', 'literature', 'video', 'games', 'etc'];list_of_sports;groupe D;En;En;['sports', 'movie', 'literature', 'video', 'games'];['sports', 'movie', 'literature', 'video', 'games'];['sports', 'movie', 'literature', 'video_games']
15;['Sports', 'falling', 'into', 'two', 'categories'];list_of_sports;groupe D;En;En;['sports', 'categories'];['sports', 'categories'];['sports', 'categories']
16;['Requiring', 'little', 'no', 'physical', 'exertion', 'agility', 'mind', 'sports', 'are', 'often', 'not', 'considered', 'true', 'sports'];list_of_sports;groupe D;En;En;['requiring', 'physical', 'exertion', 'agility', 'mind', 'sports', 'sports'];['requiring', 'physical', 'exertion', 'agility', 'mind', 'sports', 'sports'];['requiring', 'physical', 'exertion', 'agility', 'mind', 'sports', 'sports']
17;['mind', 'sports', 'are', 'recognised', 'by', 'sporting', 'federations'];list_of_sports;groupe D;En;En;['mind', 'sports', 'recognise', 'sport', 'federations'];['mind', 'sports', 'recognise', 'sport', 'federations'];['mind', 'sports', 'recognise', 'sport', 'federations']
